user_id,event_date,event_type,channel,region
1,2024-01-27,signup,Organic,LATAM
2,2024-03-12,signup,Organic,EU
3,2024-02-12,signup,Ads,LATAM
4,2024-04-13,signup,Ads,NA
5,2024-03-27,signup,Ads,LATAM
6,2024-02-04,signup,Ads,EU
7,2024-02-27,signup,Organic,EU
8,2024-03-05,signup,Ads,APAC
9,2024-03-10,signup,Ads,APAC
10,2024-01-23,signup,Ads,APAC
11,2024-02-03,signup,Referral,APAC
12,2024-01-18,signup,Organic,APAC
13,2024-02-01,signup,Ads,LATAM
14,2024-01-19,signup,Ads,APAC
15,2024-01-30,signup,Organic,NA
16,2024-02-22,signup,Ads,LATAM
17,2024-04-05,signup,Organic,EU
18,2024-02-01,signup,Referral,LATAM
19,2024-03-10,signup,Organic,EU
20,2024-02-27,signup,Ads,APAC
21,2024-03-25,signup,Organic,NA
22,2024-03-07,signup,Ads,LATAM
23,2024-01-28,signup,Organic,LATAM
24,2024-03-17,signup,Referral,APAC
25,2024-02-08,signup,Ads,LATAM
26,2024-02-13,signup,Ads,NA
27,2024-02-28,signup,Ads,NA
28,2024-03-26,signup,Ads,APAC
29,2024-04-17,signup,Ads,NA
30,2024-02-20,signup,Ads,EU
31,2024-03-16,signup,Ads,LATAM
32,2024-02-20,signup,Ads,LATAM
33,2024-03-02,signup,Organic,APAC
34,2024-01-16,signup,Organic,EU
35,2024-02-03,signup,Referral,EU
36,2024-01-30,signup,Organic,NA
37,2024-02-08,signup,Ads,LATAM
38,2024-03-19,signup,Ads,LATAM
39,2024-02-13,signup,Ads,LATAM
40,2024-02-01,signup,Ads,NA
41,2024-02-19,signup,Organic,EU
42,2024-03-05,signup,Ads,APAC
43,2024-02-10,signup,Ads,EU
44,2024-02-23,signup,Ads,EU
45,2024-03-06,signup,Ads,LATAM
46,2024-02-24,signup,Organic,APAC
47,2024-02-20,signup,Ads,NA
48,2024-02-01,signup,Ads,NA
49,2024-02-11,signup,Referral,EU
50,2024-02-19,signup,Ads,NA
51,2024-02-10,signup,Organic,EU
52,2024-01-28,signup,Ads,APAC
53,2024-03-24,signup,Organic,LATAM
54,2024-02-13,signup,Ads,NA
55,2024-02-01,signup,Ads,LATAM
56,2024-03-26,signup,Organic,NA
57,2024-01-28,signup,Ads,NA
58,2024-02-15,signup,Organic,LATAM
59,2024-01-30,signup,Organic,EU
60,2024-02-20,signup,Ads,LATAM
61,2024-03-24,signup,Ads,EU
62,2024-02-09,signup,Organic,NA
63,2024-02-09,signup,Ads,LATAM
64,2024-01-25,signup,Organic,NA
65,2024-02-21,signup,Ads,EU
66,2024-01-06,signup,Ads,APAC
67,2024-02-15,signup,Organic,EU
68,2024-02-14,signup,Ads,APAC
69,2024-02-14,signup,Ads,LATAM
70,2024-01-30,signup,Organic,APAC
71,2024-04-05,signup,Ads,LATAM
72,2024-02-07,signup,Organic,APAC
73,2024-02-02,signup,Ads,NA
74,2024-02-16,signup,Email,APAC
75,2024-02-02,signup,Ads,NA
76,2024-01-28,signup,Email,EU
77,2024-01-25,signup,Ads,NA
78,2024-02-19,signup,Referral,NA
79,2024-02-25,signup,Ads,LATAM
80,2024-03-04,signup,Ads,APAC
81,2024-02-23,signup,Organic,EU
82,2024-02-22,signup,Ads,APAC
83,2024-02-15,signup,Ads,EU
84,2024-02-14,signup,Organic,NA
85,2024-04-09,signup,Ads,LATAM
86,2024-03-08,signup,Ads,APAC
87,2024-02-18,signup,Ads,NA
88,2024-03-02,signup,Organic,NA
89,2024-02-14,signup,Referral,LATAM
90,2024-02-05,signup,Ads,LATAM
91,2024-02-21,signup,Ads,LATAM
92,2024-03-07,signup,Ads,LATAM
93,2024-01-24,signup,Referral,LATAM
94,2024-02-03,signup,Referral,EU
95,2024-02-04,signup,Referral,LATAM
96,2024-01-27,signup,Ads,APAC
97,2024-01-21,signup,Ads,NA
98,2024-02-07,signup,Organic,EU
99,2024-03-11,signup,Organic,LATAM
100,2024-01-16,signup,Ads,APAC
101,2024-01-17,signup,Organic,EU
102,2024-03-04,signup,Ads,APAC
103,2024-03-07,signup,Referral,EU
104,2024-03-05,signup,Organic,APAC
105,2024-02-24,signup,Organic,NA
106,2024-02-13,signup,Organic,NA
107,2024-03-01,signup,Ads,EU
108,2024-03-13,signup,Ads,NA
109,2024-02-01,signup,Ads,EU
110,2024-01-24,signup,Email,NA
111,2024-02-23,signup,Referral,APAC
112,2024-02-13,signup,Referral,APAC
113,2024-02-06,signup,Ads,NA
114,2024-02-15,signup,Referral,EU
115,2024-01-25,signup,Ads,EU
116,2024-02-27,signup,Ads,LATAM
117,2024-02-15,signup,Ads,EU
118,2024-02-20,signup,Ads,APAC
119,2024-02-03,signup,Email,LATAM
120,2024-01-21,signup,Referral,EU
121,2024-01-17,signup,Ads,LATAM
122,2024-01-27,signup,Organic,APAC
123,2024-02-20,signup,Ads,EU
124,2024-01-18,signup,Ads,EU
125,2024-02-26,signup,Ads,APAC
126,2024-02-21,signup,Ads,APAC
127,2024-03-05,signup,Ads,NA
128,2024-02-02,signup,Ads,LATAM
129,2024-01-31,signup,Organic,NA
130,2024-03-25,signup,Ads,NA
131,2024-01-22,signup,Organic,LATAM
132,2024-02-23,signup,Ads,NA
133,2024-01-23,signup,Organic,NA
134,2024-02-13,signup,Organic,EU
135,2024-02-16,signup,Referral,LATAM
136,2024-04-05,signup,Ads,LATAM
137,2024-04-10,signup,Referral,EU
138,2024-02-25,signup,Ads,LATAM
139,2024-02-23,signup,Ads,LATAM
140,2024-03-04,signup,Ads,APAC
141,2024-03-15,signup,Organic,EU
142,2024-03-06,signup,Ads,NA
143,2024-02-01,signup,Ads,LATAM
144,2024-02-02,signup,Referral,NA
145,2024-03-19,signup,Organic,APAC
146,2024-03-11,signup,Ads,LATAM
147,2024-01-27,signup,Organic,EU
148,2024-02-16,signup,Ads,EU
149,2024-03-01,signup,Organic,APAC
150,2024-03-07,signup,Ads,NA
151,2024-02-07,signup,Organic,EU
152,2024-02-05,signup,Referral,NA
153,2024-03-01,signup,Referral,LATAM
154,2024-02-05,signup,Ads,APAC
155,2024-03-07,signup,Ads,NA
156,2024-02-11,signup,Organic,APAC
157,2024-03-07,signup,Referral,LATAM
158,2024-01-25,signup,Ads,EU
159,2024-03-01,signup,Organic,LATAM
160,2024-03-08,signup,Referral,EU
161,2024-03-19,signup,Organic,APAC
162,2024-03-11,signup,Ads,NA
163,2024-03-21,signup,Organic,LATAM
164,2024-01-25,signup,Referral,LATAM
165,2024-05-14,signup,Ads,NA
166,2024-03-06,signup,Ads,APAC
