id,module,difficulty,type,stem,options,answer,rationale,tags
3.1-1,3.1,easy,mcq,Which best describes a foreign key (FK)?,A unique identifier within its own table|A field referencing a primary key in another table|A free-text attribute with no constraints,A field referencing a primary key in another table,FKs reference PKs of other tables to maintain relationships.,keys|relationships
3.1-2,3.1,easy,mcq,A many-to-many relationship is typically modeled using:,Composite keys only|A junction table with two FKs|Two LEFT JOINs without constraints,A junction table with two FKs,A bridge (junction) table holds FKs to each parent.,cardinality|schema
3.1-3,3.1,medium,mcq,CSV files are generally considered:,Structured with enforced schema|Semi-structured|Unstructured binary,Semi-structured,CSV lacks enforced types but is tabular-like.,files|formats
3.1-4,3.1,medium,mcq,NULL is closest in meaning to:,Zero|Empty string|Missing or unknown value,Missing or unknown value,"NULL indicates absence of a value, not zero or empty text.",nulls
3.1-5,3.1,medium,mcq,Choose the strongest primary key for People:,FullName|Email address that can change|PersonID surrogate integer,PersonID surrogate integer,Stability and uniqueness favor surrogate keys.,keys
3.1-6,3.1,easy,fitb,Referential integrity ensures every FK points to an existing ______.,,PK,Each foreign key should match a valid primary key.,integrity
3.1-7,3.1,medium,mcq,Cardinality 'one-to-many' means:,Each parent row matches zero or many child rows|Each child row matches zero or many parent rows|Each parent matches at most one child,Each parent row matches zero or many child rows,One-to-many from parent to children.,cardinality
3.1-8,3.1,medium,mcq,Which constraint prevents duplicate values in a column?,NOT NULL|UNIQUE|CHECK,UNIQUE,UNIQUE enforces distinct values.,constraints
3.1-9,3.1,hard,mcq,A composite primary key is appropriate when:,A single column can uniquely identify rows|Uniqueness requires a combination of columns|We want to reduce storage,Uniqueness requires a combination of columns,Composite PKs model uniqueness across multiple fields.,keys
3.1-10,3.1,easy,fitb,A column permitted to have no value is recorded as ______.,,NULL,NULL denotes missing value.,nulls
3.1-11,3.1,medium,mcq,Surrogate keys are preferred when natural keys:,Are stable and short|May change or be reused|Are already numeric,May change or be reused,Changing natural keys break references.,keys
3.1-12,3.1,hard,mcq,Choose the best FK from Orders to Customers:,Orders.email -> Customers.email|Orders.customer_id -> Customers.customer_id|Orders.region -> Customers.region,Orders.customer_id -> Customers.customer_id,Use immutable surrogate keys rather than derived attributes.,keys
3.1-13,3.1,medium,mcq,Which is true about JSON in analytics pipelines?,"Always normalized by default|Often semi-structured, needs schema-on-read|Binary-only","Often semi-structured, needs schema-on-read",JSON commonly parsed into typed columns.,json|formats
3.1-14,3.1,easy,mcq,Which field is most likely categorical?,Order total|Region|Timestamp,Region,Regions are discrete categories.,types
3.1-15,3.1,hard,mcq,To model many-to-many between Orders and Promotions you should:,Add promo_code column in Orders only|Create OrderPromotions junction table|Store JSON array in Orders and hope,Create OrderPromotions junction table,Junction tables scale to multiple promos.,schema
3.1-16,3.1,medium,fitb,A field designed to never be NULL should be declared ______.,,NOT NULL,NOT NULL enforces presence.,constraints
3.2-1,3.2,easy,mcq,Which clause specifies source tables?,SELECT|FROM|WHERE,FROM,Tables are listed in FROM.,select
3.2-2,3.2,easy,mcq,Filter rows before aggregation with:,WHERE|HAVING|GROUP BY,WHERE,WHERE filters pre-aggregation.,where
3.2-3,3.2,easy,mcq,Filter groups after aggregation with:,WHERE|HAVING|ORDER BY,HAVING,HAVING filters on aggregates.,having
3.2-4,3.2,medium,mcq,LEFT JOIN preserves:,Only matches|All left rows plus matches|All right rows,All left rows plus matches,LEFT keeps unmatched left rows with NULLs on right.,joins
3.2-5,3.2,medium,fitb,To limit result length use ______.,,LIMIT,LIMIT caps rows.,limit
